date,ticker,price
2024-01-01,AAPL,149.84625582970583
2024-01-02,AAPL,150.36057165746098
2024-01-03,AAPL,149.02251509707733
2024-01-04,AAPL,148.37233559883165
2024-01-05,AAPL,149.51754415573262
2024-01-06,AAPL,148.6650466312076
2024-01-07,AAPL,148.73899844904247
2024-01-08,AAPL,147.21073758358642
2024-01-09,AAPL,148.03426109704915
2024-01-10,AAPL,148.0448349055263
2024-01-11,AAPL,149.10662664889705
2024-01-12,AAPL,148.569535033225
2024-01-13,AAPL,147.72346099700042
2024-01-14,AAPL,147.7180617029418
2024-01-15,AAPL,146.0771768844525
2024-01-16,AAPL,145.03465577901392
2024-01-17,AAPL,146.63301837346853
2024-01-18,AAPL,149.7802549725051
2024-01-19,AAPL,150.75735515784783
2024-01-20,AAPL,151.45896065933314
